tipo,marca,modelo,anio,precio,caracteristica
CAMIONETA,Chevrolet,Silverado,2005,24500,650
AUTOMOVIL,Nissan,Versa,2016,16102,4
AUTOMOVIL,Chevrolet,Cruze,2006,13089,5
CAMIONETA,Toyota,Tacoma,2017,28691,791
AUTOMOVIL,Honda,Civic,2007,13678,4
AUTOMOVIL,Kia,Cerato,2018,17280,5
CAMIONETA,Chevrolet,Silverado,2008,26267,932
AUTOMOVIL,Nissan,Versa,2019,17869,4
AUTOMOVIL,Chevrolet,Cruze,2009,14856,5
CAMIONETA,Toyota,Tacoma,2020,30458,1073
AUTOMOVIL,Honda,Civic,2010,15445,4
AUTOMOVIL,Kia,Cerato,2021,19047,5
CAMIONETA,Chevrolet,Silverado,2011,28034,1214
AUTOMOVIL,Nissan,Versa,2022,19636,4
AUTOMOVIL,Chevrolet,Cruze,2012,16623,5
CAMIONETA,Toyota,Tacoma,2023,32225,1355
AUTOMOVIL,Honda,Civic,2013,17212,4
AUTOMOVIL,Kia,Cerato,2024,20814,5
CAMIONETA,Chevrolet,Silverado,2014,29801,1496
AUTOMOVIL,Nissan,Versa,2025,21403,4
AUTOMOVIL,Chevrolet,Cruze,2015,18390,5
CAMIONETA,Toyota,Tacoma,2005,27377,1637
AUTOMOVIL,Honda,Civic,2016,18979,4
AUTOMOVIL,Kia,Cerato,2006,15966,5
CAMIONETA,Chevrolet,Silverado,2017,31568,1778
AUTOMOVIL,Nissan,Versa,2007,16555,4
AUTOMOVIL,Chevrolet,Cruze,2018,20157,5
CAMIONETA,Toyota,Tacoma,2008,29144,769
AUTOMOVIL,Honda,Civic,2019,20746,4
AUTOMOVIL,Kia,Cerato,2009,17733,5
CAMIONETA,Chevrolet,Silverado,2020,33335,910
AUTOMOVIL,Nissan,Versa,2010,18322,4
AUTOMOVIL,Chevrolet,Cruze,2021,21924,5
CAMIONETA,Toyota,Tacoma,2011,30911,1051
AUTOMOVIL,Honda,Civic,2022,22513,4
AUTOMOVIL,Kia,Cerato,2012,19500,5
CAMIONETA,Chevrolet,Silverado,2023,35102,1192
AUTOMOVIL,Nissan,Versa,2013,20089,4
AUTOMOVIL,Chevrolet,Cruze,2024,23691,5
CAMIONETA,Toyota,Tacoma,2014,32678,1333
AUTOMOVIL,Honda,Civic,2025,24280,4
AUTOMOVIL,Kia,Cerato,2015,21267,5
CAMIONETA,Chevrolet,Silverado,2005,30254,1474
AUTOMOVIL,Nissan,Versa,2016,21856,4
AUTOMOVIL,Chevrolet,Cruze,2006,18843,5
CAMIONETA,Toyota,Tacoma,2017,34445,1615
AUTOMOVIL,Honda,Civic,2007,19432,4
AUTOMOVIL,Kia,Cerato,2018,23034,5
CAMIONETA,Chevrolet,Silverado,2008,32021,1756
AUTOMOVIL,Nissan,Versa,2019,23623,4
AUTOMOVIL,Chevrolet,Cruze,2009,20610,5
CAMIONETA,Toyota,Tacoma,2020,36212,747
AUTOMOVIL,Honda,Civic,2010,21199,4
AUTOMOVIL,Kia,Cerato,2021,24801,5
CAMIONETA,Chevrolet,Silverado,2011,33788,888
AUTOMOVIL,Nissan,Versa,2022,25390,4
AUTOMOVIL,Chevrolet,Cruze,2012,22377,5
CAMIONETA,Toyota,Tacoma,2023,37979,1029
AUTOMOVIL,Honda,Civic,2013,22966,4
AUTOMOVIL,Kia,Cerato,2024,26568,5
CAMIONETA,Chevrolet,Silverado,2014,35555,1170
AUTOMOVIL,Nissan,Versa,2025,27157,4
AUTOMOVIL,Chevrolet,Cruze,2015,24144,5
CAMIONETA,Toyota,Tacoma,2005,33131,1311
AUTOMOVIL,Honda,Civic,2016,24733,4
AUTOMOVIL,Kia,Cerato,2006,21720,5
CAMIONETA,Chevrolet,Silverado,2017,37322,1452
AUTOMOVIL,Nissan,Versa,2007,22309,4
AUTOMOVIL,Chevrolet,Cruze,2018,25911,5
CAMIONETA,Toyota,Tacoma,2008,34898,1593
AUTOMOVIL,Honda,Civic,2019,26500,4
AUTOMOVIL,Kia,Cerato,2009,23487,5
CAMIONETA,Chevrolet,Silverado,2020,39089,1734
AUTOMOVIL,Nissan,Versa,2010,24076,4
AUTOMOVIL,Chevrolet,Cruze,2021,27678,5
CAMIONETA,Toyota,Tacoma,2011,36665,725
AUTOMOVIL,Honda,Civic,2022,28267,4
AUTOMOVIL,Kia,Cerato,2012,25254,5
CAMIONETA,Chevrolet,Silverado,2023,40856,866
AUTOMOVIL,Nissan,Versa,2013,25843,4
AUTOMOVIL,Chevrolet,Cruze,2024,29445,5
CAMIONETA,Toyota,Tacoma,2014,38432,1007
AUTOMOVIL,Honda,Civic,2025,30034,4
AUTOMOVIL,Kia,Cerato,2015,27021,5
CAMIONETA,Chevrolet,Silverado,2005,36008,1148
AUTOMOVIL,Nissan,Versa,2016,27610,4
AUTOMOVIL,Chevrolet,Cruze,2006,24597,5
CAMIONETA,Toyota,Tacoma,2017,40199,1289
AUTOMOVIL,Honda,Civic,2007,25186,4
AUTOMOVIL,Kia,Cerato,2018,28788,5
CAMIONETA,Chevrolet,Silverado,2008,37775,1430
AUTOMOVIL,Nissan,Versa,2019,29377,4
AUTOMOVIL,Chevrolet,Cruze,2009,26364,5
CAMIONETA,Toyota,Tacoma,2020,41966,1571
AUTOMOVIL,Honda,Civic,2010,26953,4
AUTOMOVIL,Kia,Cerato,2021,30555,5
CAMIONETA,Chevrolet,Silverado,2011,39542,1712
AUTOMOVIL,Nissan,Versa,2022,31144,4
AUTOMOVIL,Chevrolet,Cruze,2012,28131,5
CAMIONETA,Toyota,Tacoma,2023,43733,703
AUTOMOVIL,Honda,Civic,2013,28720,4
AUTOMOVIL,Kia,Cerato,2024,32322,5
CAMIONETA,Chevrolet,Silverado,2014,41309,844
AUTOMOVIL,Nissan,Versa,2025,32911,4
AUTOMOVIL,Chevrolet,Cruze,2015,29898,5
CAMIONETA,Toyota,Tacoma,2005,38885,985
AUTOMOVIL,Honda,Civic,2016,30487,4
AUTOMOVIL,Kia,Cerato,2006,27474,5
CAMIONETA,Chevrolet,Silverado,2017,43076,1126
AUTOMOVIL,Nissan,Versa,2007,28063,4
AUTOMOVIL,Chevrolet,Cruze,2018,31665,5
CAMIONETA,Toyota,Tacoma,2008,40652,1267
AUTOMOVIL,Honda,Civic,2019,32254,4
AUTOMOVIL,Kia,Cerato,2009,29241,5
CAMIONETA,Chevrolet,Silverado,2020,44843,1408
AUTOMOVIL,Nissan,Versa,2010,29830,4
AUTOMOVIL,Chevrolet,Cruze,2021,33432,5
CAMIONETA,Toyota,Tacoma,2011,42419,1549
AUTOMOVIL,Honda,Civic,2022,34021,4
AUTOMOVIL,Kia,Cerato,2012,31008,5
CAMIONETA,Chevrolet,Silverado,2023,46610,1690
AUTOMOVIL,Nissan,Versa,2013,31597,4
AUTOMOVIL,Chevrolet,Cruze,2024,35199,5
CAMIONETA,Toyota,Tacoma,2014,44186,681
AUTOMOVIL,Honda,Civic,2025,35788,4
AUTOMOVIL,Kia,Cerato,2015,32775,5
CAMIONETA,Chevrolet,Silverado,2005,41762,822
AUTOMOVIL,Nissan,Versa,2016,33364,4
AUTOMOVIL,Chevrolet,Cruze,2006,30351,5
CAMIONETA,Toyota,Tacoma,2017,45953,963
AUTOMOVIL,Honda,Civic,2007,30940,4
AUTOMOVIL,Kia,Cerato,2018,34542,5
CAMIONETA,Chevrolet,Silverado,2008,43529,1104
AUTOMOVIL,Nissan,Versa,2019,35131,4
AUTOMOVIL,Chevrolet,Cruze,2009,32118,5
CAMIONETA,Toyota,Tacoma,2020,47720,1245
AUTOMOVIL,Honda,Civic,2010,32707,4
AUTOMOVIL,Kia,Cerato,2021,36309,5
CAMIONETA,Chevrolet,Silverado,2011,45296,1386
AUTOMOVIL,Nissan,Versa,2022,36898,4
AUTOMOVIL,Chevrolet,Cruze,2012,33885,5
CAMIONETA,Toyota,Tacoma,2023,49487,1527
AUTOMOVIL,Honda,Civic,2013,34474,4
AUTOMOVIL,Kia,Cerato,2024,38076,5
CAMIONETA,Chevrolet,Silverado,2014,47063,1668
AUTOMOVIL,Nissan,Versa,2025,38665,4
AUTOMOVIL,Chevrolet,Cruze,2015,35652,5
CAMIONETA,Toyota,Tacoma,2005,44639,659
AUTOMOVIL,Honda,Civic,2016,36241,4
AUTOMOVIL,Kia,Cerato,2006,33228,5
CAMIONETA,Chevrolet,Silverado,2017,48830,800
AUTOMOVIL,Nissan,Versa,2007,33817,4
AUTOMOVIL,Chevrolet,Cruze,2018,37419,5
CAMIONETA,Toyota,Tacoma,2008,46406,941
AUTOMOVIL,Honda,Civic,2019,38008,4
AUTOMOVIL,Kia,Cerato,2009,34995,5
CAMIONETA,Chevrolet,Silverado,2020,50597,1082
AUTOMOVIL,Nissan,Versa,2010,35584,4
AUTOMOVIL,Chevrolet,Cruze,2021,39186,5
CAMIONETA,Toyota,Tacoma,2011,48173,1223
AUTOMOVIL,Honda,Civic,2022,39775,4
AUTOMOVIL,Kia,Cerato,2012,36762,5
CAMIONETA,Chevrolet,Silverado,2023,52364,1364
AUTOMOVIL,Nissan,Versa,2013,37351,4
AUTOMOVIL,Chevrolet,Cruze,2024,40953,5
CAMIONETA,Toyota,Tacoma,2014,49940,1505
AUTOMOVIL,Honda,Civic,2025,41542,4
AUTOMOVIL,Kia,Cerato,2015,38529,5
CAMIONETA,Chevrolet,Silverado,2005,47516,1646
AUTOMOVIL,Nissan,Versa,2016,39118,4
AUTOMOVIL,Chevrolet,Cruze,2006,36105,5
CAMIONETA,Toyota,Tacoma,2017,51707,1787
AUTOMOVIL,Honda,Civic,2007,36694,4
AUTOMOVIL,Kia,Cerato,2018,40296,5
CAMIONETA,Chevrolet,Silverado,2008,49283,778
AUTOMOVIL,Nissan,Versa,2019,40885,4
AUTOMOVIL,Chevrolet,Cruze,2009,37872,5
CAMIONETA,Toyota,Tacoma,2020,53474,919
AUTOMOVIL,Honda,Civic,2010,38461,4
AUTOMOVIL,Kia,Cerato,2021,42063,5
CAMIONETA,Chevrolet,Silverado,2011,51050,1060
AUTOMOVIL,Nissan,Versa,2022,42652,4
AUTOMOVIL,Chevrolet,Cruze,2012,39639,5
CAMIONETA,Toyota,Tacoma,2023,55241,1201
AUTOMOVIL,Honda,Civic,2013,40228,4
AUTOMOVIL,Kia,Cerato,2024,43830,5
CAMIONETA,Chevrolet,Silverado,2014,52817,1342
AUTOMOVIL,Nissan,Versa,2025,44419,4
AUTOMOVIL,Chevrolet,Cruze,2015,41406,5
CAMIONETA,Toyota,Tacoma,2005,50393,1483
AUTOMOVIL,Honda,Civic,2016,41995,4
AUTOMOVIL,Kia,Cerato,2006,38982,5
CAMIONETA,Chevrolet,Silverado,2017,54584,1624
AUTOMOVIL,Nissan,Versa,2007,39571,4
AUTOMOVIL,Chevrolet,Cruze,2018,43173,5
CAMIONETA,Toyota,Tacoma,2008,52160,1765
AUTOMOVIL,Honda,Civic,2019,43762,4
AUTOMOVIL,Kia,Cerato,2009,40749,5
CAMIONETA,Chevrolet,Silverado,2020,56351,756
AUTOMOVIL,Nissan,Versa,2010,41338,4
AUTOMOVIL,Chevrolet,Cruze,2021,44940,5
CAMIONETA,Toyota,Tacoma,2011,53927,897
AUTOMOVIL,Honda,Civic,2022,45529,4
AUTOMOVIL,Kia,Cerato,2012,42516,5
CAMIONETA,Chevrolet,Silverado,2023,58118,1038
AUTOMOVIL,Nissan,Versa,2013,43105,4
AUTOMOVIL,Chevrolet,Cruze,2024,46707,5
CAMIONETA,Toyota,Tacoma,2014,55694,1179
AUTOMOVIL,Honda,Civic,2025,47296,4
AUTOMOVIL,Kia,Cerato,2015,44283,5
CAMIONETA,Chevrolet,Silverado,2005,53270,1320
AUTOMOVIL,Nissan,Versa,2016,44872,4
AUTOMOVIL,Chevrolet,Cruze,2006,41859,5
CAMIONETA,Toyota,Tacoma,2017,57461,1461
AUTOMOVIL,Honda,Civic,2007,42448,4
AUTOMOVIL,Kia,Cerato,2018,46050,5
CAMIONETA,Chevrolet,Silverado,2008,55037,1602
AUTOMOVIL,Nissan,Versa,2019,46639,4
AUTOMOVIL,Chevrolet,Cruze,2009,43626,5
CAMIONETA,Toyota,Tacoma,2020,59228,1743
AUTOMOVIL,Honda,Civic,2010,44215,4
AUTOMOVIL,Kia,Cerato,2021,47817,5
CAMIONETA,Chevrolet,Silverado,2011,56804,734
AUTOMOVIL,Nissan,Versa,2022,48406,4
AUTOMOVIL,Chevrolet,Cruze,2012,45393,5
CAMIONETA,Toyota,Tacoma,2023,60995,875
AUTOMOVIL,Honda,Civic,2013,45982,4
AUTOMOVIL,Kia,Cerato,2024,49584,5
CAMIONETA,Chevrolet,Silverado,2014,58571,1016
AUTOMOVIL,Nissan,Versa,2025,50173,4
AUTOMOVIL,Chevrolet,Cruze,2015,47160,5
CAMIONETA,Toyota,Tacoma,2005,56147,1157
AUTOMOVIL,Honda,Civic,2016,47749,4
AUTOMOVIL,Kia,Cerato,2006,44736,5
CAMIONETA,Chevrolet,Silverado,2017,60338,1298
AUTOMOVIL,Nissan,Versa,2007,45325,4
AUTOMOVIL,Chevrolet,Cruze,2018,48927,5
CAMIONETA,Toyota,Tacoma,2008,57914,1439
AUTOMOVIL,Honda,Civic,2019,49516,4
AUTOMOVIL,Kia,Cerato,2009,46503,5
CAMIONETA,Chevrolet,Silverado,2020,62105,1580
AUTOMOVIL,Nissan,Versa,2010,47092,4
AUTOMOVIL,Chevrolet,Cruze,2021,50694,5
CAMIONETA,Toyota,Tacoma,2011,59681,1721
AUTOMOVIL,Honda,Civic,2022,51283,4
AUTOMOVIL,Kia,Cerato,2012,48270,5
CAMIONETA,Chevrolet,Silverado,2023,63872,712
AUTOMOVIL,Nissan,Versa,2013,48859,4
AUTOMOVIL,Chevrolet,Cruze,2024,52461,5
CAMIONETA,Toyota,Tacoma,2014,61448,853
AUTOMOVIL,Honda,Civic,2025,53050,4
